Date,Open,High,Low,Price,Vol,Change,FX Change,Cum FX Change,Actual Price
2014-01-02,4160.029785,4160.959961,4131.790039,4143.069824,1738820000,-0.008025691114523559,0,1,4143.069824
2014-01-03,4148.560059,4152.959961,4124.959961,4131.910156,1667480000,-0.002693574685938005,0,1,4131.910156
2014-01-06,4137.029785,4139.779785,4103.75,4113.680176,2292840000,-0.004411998158655006,0,1,4113.680176
2014-01-07,4128.569824,4158.180176,4126.47998,4153.180176,2278220000,0.00960210767731784,0,1,4153.180176
2014-01-08,4154.279785,4171.75,4145.0,4165.609863000001,2345220000,0.0029928118870998777,0,1,4165.609863000001
2014-01-09,4179.040039,4182.740234000001,4142.700195,4156.189941,2214770000,-0.0022613548339394107,0,1,4156.189941
2014-01-10,4168.939941,4174.680176,4142.209961,4174.669922,2143070000,0.004446375469441044,0,1,4174.669922
2014-01-13,4167.410156,4179.470215,4097.990234000001,4113.299805,2322240000,-0.014700591459120504,0,1,4113.299805
2014-01-14,4129.600098,4183.839844,4125.810059,4183.02002,2034180000,0.01694994731851307,0,1,4183.02002
2014-01-15,4196.529785,4218.790039,4195.97998,4214.879883,2101870000,0.007616473946495672,0,1,4214.879883
2014-01-16,4209.589844,4219.279785,4204.160156,4218.689941,2005850000,0.0009039541115671845,0,1,4218.689941
2014-01-17,4207.819824,4217.240234000001,4187.310059,4197.580078,2150370000,-0.0050038906142023665,0,1,4197.580078
2014-01-21,4222.97998,4227.930176,4193.169922,4225.759765999999,2034030000,0.0067133175487685826,0,1,4225.759765999999
2014-01-22,4234.580078,4246.549805,4225.52002,4243.0,2026910000,0.0040797951030520085,0,1,4243.0
2014-01-23,4224.359863000001,4224.439941,4192.279785,4218.879883,2191980000,-0.005684684657082384,0,1,4218.879883
2014-01-24,4194.970215,4197.930176,4128.169922,4128.169922,2489470000,-0.02150095843342581,0,1,4128.169922
2014-01-27,4132.220215,4136.459961,4052.6298829999996,4083.610107,2398280000,-0.010794084507648294,0,1,4083.610107
2014-02-05,4015.5,4026.280029,3968.1899409999996,4011.5500490000004,2168360000,-0.0049534594646512,0,1,4011.5500490000004
2014-02-06,4022.6599119999996,4064.0600590000004,4022.169922,4057.1201170000004,1942700000,0.011359715681812155,0,1,4057.1201170000004
2014-02-07,4081.820068,4126.509765999999,4069.929932,4125.859863000001,2055850000,0.0169429901057081,0,1,4125.859863000001
2014-02-10,4125.120117,4148.299805,4122.609863000001,4148.169922,1811970000,0.005407371975978181,0,1,4148.169922
2014-02-11,4154.660156,4198.509765999999,4153.100098,4191.049805,1993950000,0.010337060392001884,0,1,4191.049805
2014-02-12,4196.850098,4212.609863000001,4190.390136999999,4201.290039,2035890000,0.002443357744826624,0,1,4201.290039
2014-02-13,4171.580078,4240.669922,4170.470215,4240.669922,2249990000,0.009373283594905635,0,1,4240.669922
2014-02-14,4237.0,4250.910156,4225.75,4244.02002,1881510000,0.0007899926336214502,0,1,4244.02002
2014-02-18,4253.709961,4277.330078,4243.560059,4272.779785,1886210000,0.006776538485791628,0,1,4272.779785
2014-02-19,4260.740234000001,4274.290039,4232.379883,4237.950195,1956720000,-0.008151505987336827,0,1,4237.950195
2014-02-20,4241.459961,4272.339844,4226.75,4267.549805,1992780000,0.006984416672692673,0,1,4267.549805
2014-02-21,4282.169922,4284.850098,4261.629883,4263.410156,2138250000,-0.0009700294522982933,0,1,4263.410156
2014-02-24,4273.319824,4311.129883,4272.109863000001,4292.970215,2161300000,0.006933430732297685,0,1,4292.970215
2014-02-25,4298.47998,4307.509765999999,4275.799805,4287.589844,2137150000,-0.0012532980036061847,0,1,4287.589844
2014-02-26,4300.450195,4316.819824,4278.540039,4292.060059,2108270000,0.0010425938960219039,0,1,4292.060059
2014-02-27,4291.470215,4322.459961,4284.779785,4318.930176,2049160000,0.006260424278932364,0,1,4318.930176
2014-03-05,4352.759765999999,4362.5,4344.149902,4357.970215,2215980000,0.0013786859062867585,0,1,4357.970215
2014-03-06,4368.810059,4371.709961,4341.0,4352.129883,2136260000,-0.001340149590719597,0,1,4352.129883
2014-03-07,4370.97998,4371.390136999999,4319.149902,4336.220215,2175560000,-0.003655605054928346,0,1,4336.220215
