Region,Country,Index,File Name,Start Date,End Date,Volatility,Volume,Count
Asia/Pacific,Pakistan,Karachi 100,Karachi 100,17/10/14,17/10/19,5613.58877,110746260,1238
Asia/Pacific,Philippines,PHS All Shares,PHS All Shares,17/10/14,17/10/19,315.787047,1571735,1217
Asia/Pacific,Singapore,STI Index,FTSE Straits Times Singapore,17/10/14,17/10/19,237.2570397,237248864,1268
Asia/Pacific,South Korea,KOSPI,KOSPI,17/10/14,17/10/19,186.5019994,401385700,1228
Asia/Pacific,Sri Lanka,CSE All-Share,CSE All-Share,17/10/14,17/10/19,520.5109144,39905960,1203
Asia/Pacific,Taiwan,Taiwan Weighted,Taiwan Weighted,17/10/14,17/10/19,926.2344771,1.179E+12,1231
Asia/Pacific,Thailand,SET,SET Index,17/10/14,17/10/19,131.2079026,11901867321,1221
Asia/Pacific,Vietnam,HNX 30,HNX 30,7/7/17,17/10/19,20.25985537,24302,572
Africa,Botswana,BSE Domestic Company,BSE Domestic Company,17/10/14,16/10/19,994.647733,0,1238
Africa,Cote D'Ivoire,BRVM 10,BRVM Composite,17/10/14,17/10/19,49.43690243,0,1243
Africa,Kenya,Kenya NSE 20,Kenya NSE 20,23/1/18,17/10/19,420.7410706,0,434
Africa,Mauritius,Semdex,Semdex,17/10/14,17/10/19,173.1369434,0,1249
Africa,Morocco,Moroccan All Shares,Moroccan All Shares,22/1/18,17/10/19,724.964964,0,430
Africa,Namibia,NSX,FTSE NSX Overall,17/10/14,17/10/19,150.0043363,0,1249
Africa,Nigeria,NSE All Share,NSE All Share,17/10/14,17/10/19,4941.45033,162131558,1238
Africa,South Africa,FTSE/JSE Top 40,FTSE_JSE Top 40,17/10/14,17/10/19,2935.500394,133442049,1249
Africa,Tanzania,Tanzania All Share,Tanzania All Share,17/10/14,17/10/19,238.7816671,0,1230
Africa,Tunisia,Tunindex,Tunindex,17/10/14,17/10/19,925.2394886,401167,1248
Africa,Uganda,Uganda All Share,Uganda All Share,17/10/14,17/10/19,200.8493592,0,1184
Africa,Zambia,LSE All Share,LSE All Share,17/10/14,17/10/19,604.4697026,713714,1202
Africa,Zimbabwe,Zimbabwe Industrial,Zimbabwe Industrial,17/1/18,16/10/19,132.0085511,0,434
